"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"543",542,196,2,184,1,100,14,0,0,1,4,5,15,7,447,1,14,26,8,5,0,1,100,"1"
"545",544,62,2,171,1,50,14,0,0,4,4,5,13,7,819,2,20,33,18,8,0,1,255,"0"
"547",546,111,2,182,0,23,14,0,0,1,1,5,15,6,503,0,14,199,5,7,0,1,322,"0"
"550",549,312,0,133,1,93,8,0,0,4,4,5,4,7,681,1,14,207,8,8,0,1,432,"0"
"553",552,271,0,135,1,104,8,0,0,1,4,5,9,7,390,2,14,100,15,6,0,1,453,"1"
"555",554,328,0,99,1,104,8,2,4,4,4,5,9,7,798,1,15,93,15,7,0,1,439,"2"
"556",555,393,1,94,0,82,8,2,4,4,1,5,9,7,333,2,0,158,15,5,0,1,529,"1"
"564",563,186,2,141,1,100,14,0,0,4,4,5,9,7,262,5,14,88,18,8,0,1,138,"0"
"568",567,271,0,135,1,104,8,0,0,1,4,5,9,3,852,1,14,207,15,6,0,1,453,"0"
"571",570,251,0,95,1,38,8,1,4,4,1,5,7,6,435,1,14,55,8,7,0,1,569,"0"
"574",573,312,0,133,1,93,8,0,0,4,4,5,4,6,542,1,14,25,5,8,0,1,432,"2"
"577",576,42,2,114,0,77,14,1,0,1,4,5,9,7,880,2,14,207,18,8,0,1,76,"0"
"580",579,42,2,114,0,77,14,1,0,1,4,5,9,7,290,5,14,19,18,8,0,1,76,"0"
"584",583,63,2,181,1,84,14,0,0,4,4,5,9,7,98,1,14,19,18,9,0,1,289,"1"
"585",584,585,1,167,2,61,10,0,0,1,3,5,14,10,849,1,0,62,8,5,0,1,60,"0"
"586",585,26,2,235,1,121,14,0,0,1,0,5,15,7,414,1,14,55,8,8,0,1,184,"0"
"588",587,166,2,177,2,34,14,0,0,1,3,5,7,6,588,5,14,43,5,5,0,1,280,"0"
"590",589,32,2,172,0,109,14,0,0,4,4,5,15,7,890,1,14,185,8,8,0,1,327,"0"
"591",590,566,1,180,1,18,10,0,0,4,3,5,0,6,461,1,14,25,5,7,0,1,51,"0"
"593",592,110,2,175,1,50,14,0,0,1,4,5,4,7,647,5,14,144,5,5,0,1,252,"0"
"596",595,223,3,210,1,90,16,2,4,1,4,5,15,7,508,5,14,26,8,2,0,1,16,"0"
"599",598,339,0,307,1,38,8,0,0,1,1,0,13,6,478,5,14,143,0,7,0,1,552,"0"
"600",599,521,1,187,2,103,8,2,4,1,4,5,15,0,244,1,14,77,8,7,0,1,574,"0"
"601",600,521,1,187,2,103,8,2,4,1,4,5,15,7,366,1,14,186,8,7,0,1,574,"0"
"604",603,481,1,142,1,121,14,2,4,1,1,5,9,7,108,2,14,25,18,7,0,1,72,"1"
"605",604,481,1,142,1,121,14,2,4,1,1,5,9,6,266,1,14,227,15,7,0,1,72,"1"
"607",606,329,0,132,1,38,8,0,0,4,1,5,9,7,232,5,14,51,18,6,0,1,515,"2"
"611",610,440,1,126,0,49,13,1,0,4,3,5,15,7,74,1,14,19,8,5,0,1,445,"1"
"613",612,564,1,119,1,18,10,0,0,4,4,5,9,7,607,2,14,49,15,7,0,1,59,"1"
"614",613,193,2,311,2,125,14,0,0,4,4,5,15,7,466,1,14,5,5,8,0,1,337,"2"
